TEAM_ID,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,OWNER,GENERALMANAGER,HEADCOACH,CURRENT PLAYER 1,CURRENT PLAYER 2,CURRENT PLAYER 3,CURRENT PLAYER 4,CURRENT PLAYER 5,CURRENT PLAYER 6,CURRENT PLAYER 7,CURRENT PLAYER 8,CURRENT PLAYER 9,CURRENT PLAYER 10,CURRENT PLAYER 11,CURRENT PLAYER 12,CURRENT PLAYER 13,CURRENT PLAYER 14,CURRENT PLAYER 15,CURRENT PLAYER 16,CURRENT PLAYER 17,CURRENT PLAYER 18,CONFERENCE,DISTRICT,LOGO,CONFERENCE_LOGO
1610612737,ATL,Hawks,1949,Atlanta,State Farm Arena,Tony Ressler,Travis Schlenk,Lloyd Pierce,Bogdan Bogdanovic,Clint Capela,John Collins,Sharife Cooper,Gorgui Dieng,Danilo Gallinari,Brandon Goodwin,Solomon Hill,Kevin Huerter,De'Andre Hunter,Jalen Johnson,Skylar Mays,Onyeka Okongwu,Cam Reddish,Lou Williams,Delon Wright,Trae Young,,EAST,Southeast,https://i0.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-atlanta-hawks-Logo.png?resize=300%2C300&ssl=1,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Eastern-Conference-Logo.png?resize=300%2C300&ssl=1
1610612738,BOS,Celtics,1946,Boston,TD Garden,Wyc Grousbeck,Danny Ainge,Brad Stevens,Jaylen Brown,Kris Dunn,Carsen Edwards,Tacko Fall,Bruno Fernando,Al Horford,Enes Kanter,Luke Kornet,Romeo Langford,Aaron Nesmith,Jabari Parker,Payton Pritchard,Josh Richardson,Dennis Schroder,Marcus Smart,Jayson Tatum,Grant Williams,Robert Williams III,EAST,Atlantic,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-boston-celtics-Logo.png?resize=300%2C300&ssl=1,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Eastern-Conference-Logo.png?resize=300%2C300&ssl=1
1610612740,NOP,Pelicans,2002,New Orleans,Smoothie King Center,Tom Benson,Trajan Langdon,Alvin Gentry,Nickeil Alexander-Walker,Wenyen Gabriel,Devonte' Graham,Josh Hart,Jaxson Hayes,Willy Hernangomez,Brandon Ingram,Herbert Jones,Kira Lewis Jr.,Didi Louzada,Naji Marshall,Trey Murphy III,James Nunnally,Tomas Satoransky,Garrett Temple,Jonas Valanciunas,Zion Williamson,,WEST,Southwest,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-new-orleans-pelicans-Logo.png?resize=300%2C300&ssl=1,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Western-Conference-Logo.png?resize=300%2C300&ssl=1
1610612741,CHI,Bulls,1966,Chicago,United Center,Jerry Reinsdorf,Gar Forman,Jim Boylen,Ryan Arcidiacono,Lonzo Ball,Tony Bradley,Troy Brown Jr.,Alex Caruso,DeMar DeRozan,Ayo Dosunmu,Devon Dotson,Cristiano Felicio,Javonte Green,Derrick Jones Jr.,Zach LaVine,Adam Mokoka,Denzel Valentine,Nikola Vucevic,Coby White,Patrick Williams,,EAST,Central,https://i0.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-chicago-bulls-Logo.png?resize=300%2C300&ssl=1,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Eastern-Conference-Logo.png?resize=300%2C300&ssl=1
1610612742,DAL,Mavericks,1980,Dallas,American Airlines Center,Mark Cuban,Donnie Nelson,Rick Carlisle,Moses Brown,Sterling Brown,Jalen Brunson,Reggie Bullock,Trey Burke,Willie Cauley-Stein,Luka Doncic,Dorian Finney-Smith,Josh Green,Tim Hardaway Jr.,Maxi Kleber,Boban Marjanovic,JaQuori McLaughlin,Eugene Omoruyi,Kristaps Porzingis,Dwight Powell,JJ Redick,Tyrell Terry,WEST,Southwest,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-dallas-mavericks-Logo.png?resize=300%2C300&ssl=1,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Western-Conference-Logo.png?resize=300%2C300&ssl=1
1610612743,DEN,Nuggets,1976,Denver,Pepsi Center,Stan Kroenke,Tim Connelly,Michael Malone,Will Barton,Bol Bol,Facundo Campazzo,Vlatko Cancar,PJ Dozier,Aaron Gordon,JaMychal Green,Jeff Green,Shaquille Harrison,Markus Howard,Nah'Shon Hyland,Nikola Jokic,Monte Morris,Jamal Murray,Zeke Nnaji,Michael Porter Jr.,Austin Rivers,,WEST,Northwest,https://i0.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-denver-nuggets-Logo-2018.png?resize=300%2C300&ssl=1,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Western-Conference-Logo.png?resize=300%2C300&ssl=1
1610612745,HOU,Rockets,1967,Houston,Toyota Center,Tilman Fertitta,Daryl Morey,Mike D'Antoni,D.J. Augustin,Avery Bradley,Armoni Brooks,Josh Christopher,Dante Exum,John Wall,Eric Gordon,Jalen Green,Danuel House Jr.,D.J. Wilson,Anthony Lamb,Kenyon Martin Jr.,David Nwaba,Christian Wood,Alperen Sengun,Jae'Sean Tate,Daniel Theis,Khyri Thomas,WEST,Northwest,https://i0.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-houston-rockets-Logo.png?resize=300%2C300&ssl=1,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Western-Conference-Logo.png?resize=300%2C300&ssl=1
1610612746,LAC,Clippers,1970,Los Angeles,Staples Center,Steve Ballmer,Michael Winger,Doc Rivers,Nicolas Batum,Eric Bledsoe,Amir Coffey,DeMarcus Cousins,Yogi Ferrell,Paul George,Serge Ibaka,Reggie Jackson,Keon Johnson,Luke Kennard,Kawhi Leonard,Terance Mann,Marcus Morris Sr.,Patrick Patterson,Jason Preston,Jay Scrubb,Justise Winslow,Ivica Zubac,WEST,Pacific,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Los-Angeles-Clippers-Logo.png?resize=480%2C480&ssl=1,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Western-Conference-Logo.png?resize=300%2C300&ssl=1
1610612747,LAL,Lakers,1948,Los Angeles,Staples Center,Jerry Buss Family Trust,Rob Pelinka,Frank Vogel,Kostas Antetokounmpo,Carmelo Anthony,Trevor Ariza,Kent Bazemore,Devontae Cacok,Anthony Davis,Wayne Ellington,Marc Gasol,Talen Horton-Tucker,Dwight Howard,LeBron James,Wesley Matthews,Malik Monk,Kendrick Nunn,Rajon Rondo,Russell Westbrook,,,WEST,Pacific,https://i0.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-los-angeles-lakers-Logo.png?resize=300%2C300&ssl=1,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Western-Conference-Logo.png?resize=300%2C300&ssl=1
1610612748,MIA,Heat,1988,Miami,AmericanAirlines Arena,Micky Arison,Pat Riley,Erik Spoelstra,Bam Adebayo,Jimmy Butler,Dewayne Dedmon,Marcus Garrett,Udonis Haslem,Tyler Herro,Kyle Lowry,Markieff Morris,RJ Nembhard,KZ Okpala,Victor Oladipo,Duncan Robinson,D.J. Stewart Jr.,Max Strus,P.J. Tucker,Gabe Vincent,Omer Yurtseven,,EAST,Southeast,https://i2.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-miami-heat-Logo.png?resize=300%2C300&ssl=1,https://i1.wp.com/sportytell.com/wp-content/uploads/2020/11/NBA-Eastern-Conference-Logo.png?resize=300%2C300&ssl=1
